Seconds,Alpha,Red,Green,Blue
1148,-15,-91,-14,-121
1149,-28,-167,-14,-391
1150,3,16,-14,40
1151,-17,-18,-14,-188
1152,-19,-75,-14,-398
1153,19,37,-14,151
1154,-19,-113,-14,-94
1155,-9,-27,-14,-234
1156,-44,-86,-14,-130
1157,-13,-26,-14,-377
1158,-6,-11,-14,-11
1159,19,77,-14,96
1160,14,27,-14,433
1161,19,76,-14,342
1162,-20,-138,-14,-618
1163,13,66,-14,131
1164,21,168,-14,357
1165,3,18,-14,78
1166,19,76,-14,285
1167,15,90,-14,450
1168,-24,-72,-14,-720
1169,6,37,-14,109
1170,-10,-20,-14,-220
1171,-3,-9,-14,-45
1172,8,24,-14,24
1173,-25,-124,-14,-24
1174,11,45,-14,89
1175,-4,-33,-14,-17
1176,3,1,-14,55
1177,5,10,-14,70
1178,36,0,-14,1080
1179,-6,-30,-14,-60
1180,-5,-31,-14,-116
1181,-10,-81,-14,-21
1182,-4,-31,-14,-111
1183,-21,-63,-14,-441
1184,2,5,-14,37
1185,15,0,-14,60
1186,-35,-71,-14,-71
1187,14,29,-14,435
1188,-44,-131,-14,-1319
1189,4,9,-14,69
1190,-4,-11,-14,-3
1191,-4,-25,-14,-73
1192,51,253,-14,202
1193,17,103,-14,239
1194,18,145,-14,145
1195,-4,-1,-14,-13
1196,-7,-57,-14,-71
1197,-9,-64,-14,-181
1198,-25,-51,-14,-76
1199,-7,-21,-14,-84
1200,-12,-84,-14,-180
1201,-3,-22,-14,-79
1202,16,112,-14,240
1203,8,40,-14,112
1204,9,65,-14,47
1205,-5,-27,-14,-102
1206,-3,-4,-14,-91
1207,6,17,-14,173
1208,-28,-169,-14,-589
1209,-7,1,-14,-125
1210,-14,-57,-14,-393
1211,-4,-9,-14,-81
1212,17,34,-14,425
1213,0,1,-14,1
1214,14,85,-14,15
1215,7,32,-14,221
1216,20,121,-14,361
1217,11,44,-14,165
1218,17,35,-14,188
1219,4,7,-14,103
1220,19,114,-14,228
1221,0,-2,-14,-2
1222,7,14,-14,14
1223,-40,-279,-14,-519
1224,-4,-6,-14,-26
1225,27,162,-14,54
1226,2,15,-14,41
1227,7,6,-14,181
1228,9,-1,-14,44
1229,15,90,-14,90
1230,31,157,-14,188
1231,-20,-160,-14,-140
1232,19,-1,-14,569
1233,2,11,-14,35
1234,9,26,-14,35
1235,19,75,-14,265
1236,-2,-12,-14,-54
1237,6,41,-14,29
1238,4,31,-14,127
1239,70,210,-14,1540
1240,-9,-26,-14,-251
1241,9,-1,-14,116
1242,31,63,-14,807
1243,30,89,-14,149
1244,10,60,-14,30
1245,-10,-49,-14,-99
1246,-8,-65,-14,-145
1247,27,80,-14,512
1248,5,15,-14,10
1249,-11,-55,-14,-341
1250,6,11,-14,155
1251,7,13,-14,97
1252,9,46,-14,271
1253,30,30,-14,570
1254,31,32,-14,311
1255,3,22,-14,10
1256,45,180,-14,855
1257,29,173,-14,666
1258,8,56,-14,200
1259,-3,-8,-14,-59
1260,19,95,-14,551
1261,7,37,-14,93
1262,-3,-18,-14,-12
1263,-19,-133,-14,-532
1264,-13,-93,-14,-366
1265,36,73,-14,1045
1266,-1,0,-14,-21
1267,-13,-64,-14,-389
1268,-37,-110,-14,-258
1269,2,10,-14,14
1270,-13,-12,-14,-129
1271,-17,-17,-14,-51
1272,-7,-21,-14,-35
1273,1,2,-14,13
1274,-24,-121,-14,-25
1275,19,20,-14,286
1276,18,36,-14,252
1277,-12,-49,-14,-217
1278,-12,-61,-14,-313
1279,-24,-72,-14,-504
1280,-3,-25,-14,-37
1281,9,44,-14,143
1282,-21,-126,-14,-126
1283,14,42,-14,210
1284,39,195,-14,351
1285,-12,1,-14,-191
1286,19,134,-14,96
1287,-16,-65,-14,-129
1288,11,65,-14,307
1289,42,336,-14,1302
1290,-29,-175,-14,-842
1291,13,51,-14,77
1292,5,35,-14,150
1293,-4,-20,-14,-68
1294,8,33,-14,185
1295,0,-2,-14,-2
1296,-12,-2,-14,-362
1297,8,15,-14,119
1298,7,20,-14,167
1299,23,160,-14,45
1300,4,25,-14,45
1301,-20,-20,-14,-300
1302,-16,-65,-14,-353
1303,-11,0,-14,-99
1304,13,13,-14,65
1305,-12,-61,-14,-385
1306,-36,-72,-14,-432
1307,-16,-30,-14,-174
1308,-6,-18,-14,-102
1309,7,41,-14,104
1310,-20,-141,-14,-121
1311,0,-2,-14,-2
1312,21,170,-14,422
1313,30,88,-14,838
1314,-7,-30,-14,-72
1315,-16,-111,-14,-143
1316,30,122,-14,332
1317,-28,-57,-14,-813
1318,-1,-1,-14,-2
1319,-11,-32,-14,-296
1320,48,335,-14,335
1321,12,24,-14,360
1322,-14,-69,-14,-195
1323,10,59,-14,79
1324,-25,-200,-14,-175
1325,11,25,-14,322
1326,-25,-75,-14,-125
1327,-6,-47,-14,-119
1328,-19,-37,-14,-360
1329,38,304,-14,912
1330,26,132,-14,756
1331,-25,-125,-14,-175
1332,9,18,-14,90
1333,10,69,-14,179
1334,5,35,-14,5
1335,27,26,-14,620
1336,17,118,-14,16
1337,-21,-126,-14,-42
1338,-11,-56,-14,-12
1339,4,6,-14,38
1340,-5,-24,-14,-69
1341,45,225,-14,675
1342,2,2,-14,10
1343,-40,0,-14,-680
1344,6,24,-14,72
1345,-18,-88,-14,-448
1346,7,19,-14,145
1347,-17,-33,-14,-169
1348,-24,-123,-14,-435
1349,24,25,-14,25
1350,-6,-40,-14,-172
1351,10,30,-14,50
1352,-5,-21,-14,-6
1353,26,77,-14,519
1354,-15,-30,-14,-60
1355,-32,-31,-14,-799
1356,17,18,-14,273
1357,-19,-19,-14,-589
1358,-1,-5,-14,-23
1359,3,19,-14,49
1360,16,33,-14,353
1361,1,8,-14,31
1362,2,8,-14,16
1363,-12,-36,-14,-156
1364,-42,-83,-14,-83
1365,6,23,-14,11
1366,4,33,-14,81
1367,7,50,-14,64
1368,9,27,-14,135
1369,-10,-42,-14,-102
1370,11,12,-14,144
1371,16,110,-14,494
1372,-13,-38,-14,-285
1373,-12,-47,-14,-323
1374,26,78,-14,390
1375,15,30,-14,180
1376,8,47,-14,207
1377,20,0,-14,80
1378,5,35,-14,105
1379,21,147,-14,21
1380,7,7,-14,175
1381,-3,1,-14,-29
1382,22,87,-14,483
1383,-12,-72,-14,-312
1384,6,36,-14,192
1385,5,0,-14,140
1386,21,41,-14,356
1387,-8,-41,-14,-33
1388,-30,-91,-14,-61
1389,29,29,-14,0
1390,0,1,-14,1
1391,-22,-109,-14,-395
1392,23,137,-14,22
1393,65,326,-14,131
1394,7,28,-14,56
1395,7,29,-14,57
1396,16,-1,-14,47
1397,-25,-51,-14,-551
1398,9,0,-14,216
1399,9,38,-14,236
1400,-13,15,-14,-156
1401,-33,15,-66,-297
1402,-18,15,-55,-343
1403,1,15,1,5
1404,4,15,49,97
1405,-27,15,-55,-109
1406,21,15,65,317
1407,49,15,246,687
1408,5,15,0,5
1409,-37,15,-370,-999
1410,-13,15,-78,-364
1411,-3,15,-42,-54
1412,-16,15,-175,-271
1413,-39,15,-664,-79
1414,2,15,3,31
1415,-18,15,-288,-54
1416,11,15,66,33
1417,-12,15,-168,-36
1418,-3,15,-41,-50
1419,15,15,45,450
1420,-32,15,-129,-961
1421,-10,15,-68,-268
1422,22,15,1,507
1423,-2,15,-19,-27
1424,14,15,15,225
1425,29,15,58,928
1426,-16,15,-113,-257
1427,0,15,0,0
1428,-26,15,-158,-106
1429,13,15,221,117
1430,4,15,8,68
1431,-23,15,-161,-460
1432,24,15,168,240
1433,10,15,140,260
1434,-3,15,-42,-78
1435,-14,15,-41,-153
1436,-26,15,-79,-53
1437,-11,15,-133,-221
1438,-5,15,-31,-156
1439,21,15,40,397
1440,10,15,54,224
1441,17,15,204,357
1442,22,15,132,220
1443,-14,15,-85,-267
1444,0,15,-1,-1
1445,-9,15,-55,-136
1446,14,15,71,29
1447,5,15,84,99
1448,24,15,407,215
1449,25,15,51,51
1450,11,15,8,41
1451,-7,15,-29,-190
1452,-7,15,-118,-55
1453,-15,15,-104,-404
1454,0,15,0,0
1455,-17,15,-255,-272
1456,-6,15,-48,-150
1457,-53,15,-849,-107
1458,-36,15,-252,-216
1459,-9,15,-17,-53
1460,-23,15,-276,-690
1461,-19,15,-210,-438
1462,12,15,47,335
1463,29,15,0,377
1464,-21,15,-147,-441
1465,-45,15,-495,-1305
1466,-20,15,-198,-218
1467,13,15,182,234
1468,-12,15,-204,-84
1469,36,15,612,1044
1470,0,15,-1,-1
1471,26,15,52,728
1472,52,15,364,1456
1473,-14,15,-253,-295
1474,52,15,467,883
1475,-20,15,-239,-299
1476,-3,15,-14,-11
1477,28,15,447,27
1478,-1,15,-13,-6
1479,-15,15,-45,-45
1480,21,15,63,84
1481,7,15,99,64
1482,5,15,26,81
1483,31,15,342,94
1484,-1,15,-1,-3
1485,-3,15,-7,-70
1486,-1,15,-6,-21
1487,-17,15,-187,-187
1488,17,15,136,85
1489,23,15,390,666
1490,-45,15,-180,-1170
1491,-44,15,-792,-704
1492,28,15,194,446
1493,-6,15,0,-120
1494,-20,15,-279,-199
1495,-3,15,-37,-64
1496,-2,15,-6,-20
1497,16,15,192,464
1498,-17,15,-51,-527
1499,-9,15,-127,-217
1500,13,15,-12,10
1501,4,15,-12,10
1502,28,15,-12,10
1503,-19,15,-12,10
1504,24,15,-12,10
1505,-11,15,-12,10
1506,-23,15,-12,10
1507,2,15,-12,10
1508,-1,15,-12,10
1509,-53,15,-12,10
1510,36,15,-12,10
1511,-10,15,-12,10
1512,-57,15,-12,10
1513,-3,15,-12,10
1514,-20,15,-12,10
1515,2,15,-12,10
1516,-19,15,-12,10
1517,-11,15,-12,10
1518,-7,15,-12,10
1519,8,15,-12,10
1520,20,15,-12,10
1521,19,15,-12,10
1522,-9,15,-12,10
1523,16,15,-12,10
1524,-27,15,-12,10
1525,-35,15,-12,10
1526,4,15,-12,10
1527,6,15,-12,10
1528,10,15,-12,10
1529,19,15,-12,10
1530,-10,15,-12,10
1531,12,15,-12,10
1532,5,15,-12,10
1533,14,15,-12,10
1534,35,15,-12,10
1535,-10,15,-12,10
1536,6,15,-12,10
1537,27,15,-12,10
1538,-34,15,-12,10
1539,-21,15,-12,10
1540,-5,15,-12,10
1541,-32,15,-12,10
1542,-9,15,-12,10
1543,-4,15,-12,10
1544,-16,15,-12,10
1545,-29,15,-12,10
1546,25,15,-12,10
1547,-10,15,-12,10
1548,2,15,-12,10
1549,-12,15,-12,10
1550,45,15,-12,10
1551,13,15,-12,10
1552,-7,15,-12,10
1553,-13,15,-12,10
1554,-17,15,-12,10
1555,-2,15,-12,10
1556,36,15,-12,10
1557,-46,15,-12,10
1558,-21,15,-12,10
1559,-4,15,-12,10
1560,-42,15,-12,10
1561,4,15,-12,10
1562,10,15,-12,10
1563,2,15,-12,10
1564,7,15,-12,10
1565,-21,15,-12,10
1566,17,15,-12,10
1567,-4,15,-12,10
1568,33,15,-12,10
1569,17,15,-12,10
1570,2,15,-12,10
1571,-17,15,-12,10
1572,-21,15,-12,10
1573,-10,15,-12,10
1574,-12,15,-12,10
1575,11,15,-12,10
1576,5,15,-12,10
1577,10,15,-12,10
1578,13,15,-12,10
1579,15,15,-12,10
1580,-4,15,-12,10
1581,-13,15,-12,10
1582,-26,15,-12,10
1583,-11,15,-12,10
1584,-3,15,-12,10
1585,-3,15,-12,10
1586,23,15,-12,10
1587,-30,15,-12,10
1588,-6,15,-12,10
1589,24,15,-12,10
1590,-16,15,-12,10
1591,16,15,-12,10
1592,26,15,-12,10
1593,12,15,-12,10
1594,-25,15,-12,10
1595,30,15,-12,10
1596,-22,15,-12,10
1597,-12,15,-12,10
1598,30,15,-12,10
1599,-14,15,-12,10
1600,6,15,-12,10
1601,-14,15,-12,10
1602,24,15,-12,10
1603,-13,15,-12,10
1604,-10,15,-12,10
1605,10,15,-12,10
1606,-31,15,-12,10
1607,-14,15,-12,10
1608,32,15,-12,10
1609,-24,15,-12,10
1610,12,15,-12,10
1611,18,15,-12,10
1612,-7,15,-12,10
1613,3,15,-12,10
1614,-9,15,-12,10
1615,6,15,-12,10
1616,-6,15,-12,10
1617,33,15,-12,10
1618,22,15,-12,10
1619,20,15,-12,10
1620,23,15,-12,10
1621,5,15,-12,10
1622,13,15,-12,10
1623,13,15,-12,10
1624,11,15,-12,10
1625,23,15,-12,10
1626,-10,15,-12,10
1627,16,15,-12,10
1628,-14,15,-12,10
1629,-13,15,-12,10
1630,-2,15,-12,10
1631,20,15,-12,10
1632,-22,15,-12,10
1633,-17,15,-12,10
1634,30,15,-12,10
1635,-21,15,-12,10
1636,49,15,-12,10
1637,-1,15,-12,10
1638,4,15,-12,10
1639,-4,15,-12,10
1640,20,15,-12,10
1641,-27,15,-12,10
1642,6,15,-12,10
1643,24,15,-12,10
1644,16,15,-12,10
1645,-32,15,-12,10
1646,30,15,-12,10
1647,-30,15,-12,10
1648,-19,15,-12,10
1649,1,15,-12,10
1650,18,15,-12,10
1651,-18,15,-12,10
1652,-36,15,-12,10
1653,31,15,-12,10
1654,12,15,-12,10
1655,-26,15,-12,10
1656,7,15,-12,10
1657,-8,15,-12,10
1658,-25,15,-12,10
1659,7,15,-12,10
1660,-1,15,-12,10
1661,18,15,-12,10
1662,14,15,-12,10
1663,-20,15,-12,10
1664,-19,15,-12,10
1665,1,15,-12,10
1666,26,15,-12,10
1667,-44,15,-12,10
1668,13,15,-12,10
1669,13,15,-12,10
1670,14,15,-12,10
1671,-10,15,-12,10
1672,-13,15,-12,10
1673,8,15,-12,10
1674,-2,15,-12,10
1675,13,15,-12,10
1676,-27,15,-12,10
1677,10,15,-12,10
1678,-4,15,-12,10
1679,20,15,-12,10
1680,2,15,-12,10
1681,7,15,-12,10
1682,24,15,-12,10
1683,21,15,-12,10
1684,-20,15,-12,10
1685,21,15,-12,10
1686,5,15,-12,10
1687,4,15,-12,10
1688,6,15,-12,10
1689,-10,15,-12,10
1690,-16,15,-12,10
1691,-6,15,-12,10
1692,-41,15,-12,10
1693,-47,15,-12,10
1694,-12,15,-12,10
1695,-19,15,-12,10
1696,-20,15,-12,10
1697,23,15,-12,10
1698,9,15,-12,10
1699,23,15,-12,10
1700,-1,15,-12,10
1701,3,15,33,10
1702,12,15,13,10
1703,33,15,32,10
1704,21,15,356,10
1705,16,15,-2,10
1706,-2,15,-5,10
1707,18,15,0,10
1708,-27,15,-456,10
1709,-22,15,-307,10
1710,-23,15,-161,10
1711,21,15,42,10
1712,9,15,81,10
1713,11,15,54,10
1714,-11,15,-77,10
1715,3,15,28,10
1716,-27,15,-54,10
1717,-26,15,-389,10
1718,-20,15,-120,10
1719,-30,15,-390,10
1720,3,15,17,10
1721,6,15,23,10
1722,2,15,34,10
1723,24,15,384,10
1724,6,15,18,10
1725,7,15,84,10
1726,-17,15,-17,10
1727,-32,15,-224,10
1728,8,15,96,10
1729,-12,15,-96,10
1730,5,15,80,10
1731,0,15,-1,10
1732,15,15,133,10
1733,-17,15,-255,10
1734,-7,15,-30,10
1735,13,15,169,10
1736,16,15,113,10
1737,10,15,60,10
1738,-3,15,-50,10
1739,-18,15,-287,10
1740,13,15,195,10
1741,-34,15,-1,10
1742,17,15,155,10
1743,-3,15,-23,10
1744,18,15,270,10
1745,-26,15,-183,10
1746,10,15,80,10
1747,-4,15,-30,10
1748,-40,15,-162,10
1749,-9,15,-118,10
1750,20,15,319,10
1751,11,15,173,10
1752,12,15,35,10
1753,-39,15,-314,10
1754,29,15,233,10
1755,-15,15,-270,10
1756,4,15,0,10
1757,-46,15,-322,10
1758,-22,15,-242,10
1759,-14,15,-155,10
1760,-16,15,-288,10
1761,8,15,17,10
1762,-13,15,-197,10
1763,16,15,95,10
1764,-15,15,-74,10
1765,26,15,259,10
1766,31,15,156,10
1767,7,15,91,10
1768,25,15,173,10
1769,8,15,23,10
1770,11,15,164,10
1771,-25,15,-247,10
1772,13,15,157,10
1773,-8,15,-81,10
1774,-7,15,-127,10
1775,10,15,121,10
1776,26,15,287,10
1777,-2,15,-10,10
1778,-12,15,-183,10
1779,-15,15,-119,10
1780,-18,15,-127,10
1781,4,15,53,10
1782,-12,15,-24,10
1783,-17,15,-101,10
1784,12,15,131,10
1785,-15,15,-136,10
1786,-2,15,0,10
1787,-8,15,-7,10
1788,7,15,85,10
1789,17,15,187,10
1790,0,15,1,10
1791,-9,15,0,10
1792,-5,15,-75,10
1793,18,15,54,10
1794,-22,15,-332,10
1795,15,15,105,10
1796,32,15,511,10
1797,-29,15,-204,10
1798,-33,15,-363,10
1799,3,15,48,10
1800,0,15,0,10
1801,42,295,463,10
1802,-12,-25,-181,10
1803,15,2,152,10
1804,-18,-108,-72,10
1805,8,32,40,10
1806,22,65,329,10
1807,28,27,111,10
1808,-11,-57,-178,10
1809,1,3,5,10
1810,6,17,89,10
1811,-32,-32,-288,10
1812,-8,-8,-72,10
1813,7,36,22,10
1814,5,19,24,10
1815,-2,-17,-27,10
1816,-27,-189,-27,10
1817,-14,1,-13,10
1818,-22,-131,-43,10
1819,24,98,50,10
1820,6,47,89,10
1821,5,30,45,10
1822,7,20,13,10
1823,1,5,15,10
1824,22,87,175,10
1825,-33,-231,-528,10
1826,-10,-40,-110,10
1827,12,24,144,10
1828,10,0,20,10
1829,10,71,51,10
1830,18,127,289,10
1831,-30,-208,-118,10
1832,-6,-11,-101,10
1833,26,1,235,10
1834,-23,-70,-208,10
1835,-7,-42,-56,10
1836,38,229,647,10
1837,-14,-113,-113,10
1838,-4,-29,-29,10
1839,35,141,386,10
1840,28,140,448,10
1841,-11,-10,-98,10
1842,-14,-14,-98,10
1843,-14,-15,-57,10
1844,-4,-29,-69,10
1845,-2,-14,-16,10
1846,5,35,10,10
1847,-26,-183,-391,10
1848,-5,-21,-11,10
1849,-36,-109,-217,10
1850,-9,-10,-154,10
1851,-6,-13,-67,10
1852,12,-1,83,10
1853,-2,-14,-2,10
1854,-21,-84,-42,10
1855,-13,-1,-92,10
1856,1,8,10,10
1857,7,15,50,10
1858,6,18,66,10
1859,-9,0,-135,10
1860,34,33,101,10
1861,18,108,18,10
1862,-13,-26,0,10
1863,-37,-75,-630,10
1864,9,26,116,10
1865,-3,-1,-22,10
1866,9,45,135,10
1867,4,6,46,10
1868,9,36,99,10
1869,-12,-24,-84,10
1870,10,40,90,10
1871,8,41,129,10
1872,-8,-39,-103,10
1873,-7,-20,-55,10
1874,3,-1,2,10
1875,-11,-88,-11,10
1876,2,11,15,10
1877,-18,-108,-198,10
1878,-45,-359,-449,10
1879,4,13,61,10
1880,20,100,60,10
1881,-8,-34,-18,10
1882,-3,-10,-28,10
1883,-6,-35,1,10
1884,-9,-18,-9,10
1885,-25,-176,-301,10
1886,-4,-3,-15,10
1887,-4,-15,-47,10
1888,9,8,80,10
1889,0,0,0,10
1890,-1,-7,-4,10
1891,-16,-48,-240,10
1892,-6,-25,-43,10
1893,7,28,35,10
1894,-51,-410,-614,10
1895,-14,-57,-169,10
1896,-22,-88,-66,10
1897,-10,-11,-161,10
1898,-7,-57,-120,10
1899,-36,-108,0,10
1900,-6,-37,-79,10
1901,4,18,26,62
1902,-22,-87,-373,-505
1903,-23,-184,-23,-690
1904,36,108,468,648
1905,-22,-89,-177,-441
1906,-12,-74,-26,-182
1907,2,10,2,14
1908,23,70,116,70
1909,-10,-19,-109,-99
1910,9,8,8,44
1911,-3,-16,2,-1
1912,-26,-104,-26,-208
1913,-17,-119,0,-493
1914,21,44,2,23
1915,-11,-76,-131,-65
1916,-13,-79,-209,-209
1917,20,120,100,600
1918,-6,-5,-77,1
1919,21,169,274,463
1920,-14,-55,-223,-97
1921,4,9,25,29
1922,37,185,333,1036
1923,22,0,66,286
1924,-16,-16,-288,-352
1925,13,13,104,65
1926,5,19,34,64
1927,35,279,454,769
1928,-11,-43,-98,-164
1929,-30,-181,-361,-691
1930,12,73,49,301
1931,-16,0,-240,-480
1932,7,55,118,111
1933,27,27,243,621
1934,-30,-211,-1,-631
1935,-10,-51,-111,-21
1936,-5,-25,-25,-110
1937,-16,-97,-177,-305
1938,28,194,334,782
1939,10,79,69,-1
1940,-4,-16,-12,-120
1941,12,36,0,24
1942,18,144,234,504
1943,18,19,91,397
1944,-25,-100,-175,-550
1945,27,81,297,567
1946,-23,-92,-253,-322
1947,-18,-52,-250,-574
1948,36,253,541,433
1949,6,19,73,31
1950,19,20,210,590
1951,54,323,755,377
1952,1,6,7,4
1953,5,26,51,41
1954,-3,-17,-41,-47
1955,1,1,15,5
1956,17,1,188,460
1957,18,144,72,180
1958,-7,-40,-61,-82
1959,-11,-43,-142,-252
1960,-3,-4,-13,-55
1961,-16,-16,-48,-512
1962,-7,-49,-112,-168
1963,26,52,442,364
1964,-24,-49,-145,-409
1965,37,149,297,149
1966,22,65,373,-1
1967,16,79,207,223
1968,1,8,14,21
1969,-15,-29,-239,-479
1970,-1,-1,-3,-5
1971,6,37,55,67
1972,-8,-40,0,-104
1973,-7,-41,-48,-153
1974,0,0,0,0
1975,23,47,93,231
1976,33,265,562,958
1977,1,3,3,31
1978,12,61,25,301
1979,-25,-126,-301,-226
1980,-12,-72,-132,-300
1981,-6,-12,-90,-66
1982,-10,-60,-170,-190
1983,33,165,462,891
1984,-7,-21,-49,-203
1985,-12,-97,-1,-1
1986,5,24,44,59
1987,-2,-7,-27,-1
1988,-23,-92,-161,-391
1989,13,78,0,403
1990,-22,-22,-374,-110
1991,29,146,204,407
1992,18,53,53,503
1993,-12,-26,-50,-2
1994,16,18,50,178
1995,-4,-4,-60,-28
1996,-5,-35,-55,0
1997,-3,-2,-8,-41
1998,26,106,392,756
1999,-4,-24,-20,-48
2000,-37,-36,-184,-1183
2001,-29,-28,-463,-260
2002,-12,-46,2,-154
2003,39,235,625,703
2004,10,49,139,199
2005,-4,-25,-33,-37
2006,-16,-16,-80,-384
2007,-24,2,-238,-94
2008,19,78,59,477
2009,-5,-15,-10,-40
2010,5,39,24,9
2011,18,91,181,145
2012,-14,-55,-41,-293
2013,2,3,33,11
2014,-1,-6,-12,-28
2015,11,68,68,46
2016,-7,-29,-71,-120
2017,0,1,1,1
2018,25,-1,424,249
2019,-16,-97,-193,-321
2020,8,32,56,256
2021,7,19,89,159
2022,26,52,208,156
2023,-9,-16,-88,-250
2024,10,62,42,202
2025,21,169,43,148
2026,-10,-60,-100,-10
2027,-8,-24,0,-216
2028,24,167,359,527
2029,-5,-25,-40,-130
2030,10,41,111,41
2031,-4,-14,-58,-126
2032,-23,-91,-45,-528
2033,-12,-37,-157,-193
2034,-46,-232,-784,-1106
2035,2,4,-2,0
2036,-5,-34,-84,-4
2037,-3,-11,-50,-77
2038,-1,-8,-9,-28
2039,24,191,191,263
2040,-4,-31,-67,-27
2041,19,133,133,209
2042,-16,-16,-224,-496
2043,-14,-55,-41,-167
2044,-16,-49,-145,-273
2045,2,12,16,60
2046,-25,-124,-299,-74
2047,-31,-124,-403,-93
2048,-21,-40,-355,-19
2049,-15,1,-209,-299
2050,5,39,74,114
2051,-2,-14,-18,-8
2052,-15,-29,-104,-329
2053,-11,-89,-56,-122
2054,2,9,23,33
2055,-27,-79,-106,-349
2056,26,52,286,52
2057,-3,-19,-55,-16
2058,-26,-52,-208,-546
2059,56,58,954,1458
2060,-2,-8,-32,-18
2061,-27,-188,-80,-80
2062,32,64,448,736
2063,6,30,18,24
2064,26,181,467,701
2065,53,159,424,1325
2066,14,70,84,224
2067,26,78,26,468
2068,-22,-87,-43,-241
2069,-2,-17,-31,-59
2070,-42,-85,-715,-421
2071,-21,-127,-316,-316
2072,14,96,222,-2
2073,14,56,182,378
2074,-10,-50,0,-310
2075,12,48,216,192
2076,-29,-145,-29,-261
2077,-11,-33,-121,-341
2078,18,19,181,91
2079,26,78,182,364
2080,23,69,92,161
2081,-16,1,-127,-191
2082,1,7,13,28
2083,8,65,113,1
2084,5,9,24,99
2085,-3,-3,-33,-39
2086,13,0,39,130
2087,9,17,125,269
2088,-7,0,-21,-14
2089,32,0,448,672
2090,-44,-221,-749,-793
2091,-13,-52,-130,-169
2092,3,1,37,10
2093,-5,-20,-5,-130
2094,31,123,92,61
2095,5,35,80,140
2096,-28,-111,-55,-391
2097,2,14,32,10
2098,4,9,57,101
2099,38,265,569,569
2100,8,39,71,71
2101,-9,0,0,-135
2102,-25,-24,-74,-399
2103,5,1,56,116
2104,-7,-42,-7,-70
2105,3,12,18,93
2106,7,21,98,21
2107,-24,-24,-360,-576
2108,-13,-91,-104,-52
2109,-1,-4,-8,-30
2110,-16,-96,-256,-272
2111,12,2,2,218
2112,5,14,4,114
2113,-2,-6,-22,-34
2114,2,2,16,32
2115,-15,-32,-212,-332
2116,-18,-107,-179,-521
2117,7,36,29,176
2118,27,0,0,459
2119,4,16,36,36
2120,-26,-103,-233,-181
2121,-11,-56,-111,-177
2122,-3,-22,-22,-55
2123,-28,-112,0,-448
2124,-11,-45,-12,-199
2125,-1,0,-10,-12
2126,10,20,160,130
2127,-24,-25,-433,-265
2128,13,26,234,221
2129,16,31,191,111
2130,10,20,60,60
2131,19,113,151,208
2132,-1,-2,-18,-15
2133,-22,-88,-308,-176
2134,9,63,63,45
2135,35,176,386,386
2136,-6,-42,-60,-12
2137,-8,-31,-111,-39
2138,-34,-172,-70,-512
2139,5,37,77,97
2140,-2,-5,-21,-11
2141,9,55,73,82
2142,26,53,53,703
2143,2,13,23,9
2144,5,26,11,66
2145,17,17,34,408
2146,-13,-92,-118,-157
2147,-37,-223,-593,-1037
2148,28,56,196,756
2149,-37,-185,-592,-962
2150,-4,-9,-37,-37
2151,36,36,180,216
2152,1,6,4,23
2153,-3,-14,-11,-5
2154,-5,-20,-50,-160
2155,19,75,284,379
2156,-19,-78,-325,-306
2157,-8,-65,-145,-137
2158,19,151,151,474
2159,8,7,23,215
2160,2,10,22,36
2161,-16,-46,-94,-142
2162,4,1,53,73
2163,12,23,203,11
2164,29,59,117,59
2165,-16,-97,-33,-225
2166,-22,-42,-42,-394
2167,-3,-9,-27,-78
2168,32,-1,287,63
2169,-8,-32,-48,-16
2170,-30,-30,-150,-300
2171,-4,-16,-56,-48
2172,20,40,320,100
2173,45,1,811,1306
2174,21,22,127,274
2175,-26,-52,-234,-234
2176,10,31,21,121
2177,12,24,108,264
2178,-5,-17,-2,-22
2179,24,0,48,168
2180,-25,-177,-252,-302
2181,-12,-61,-73,-73
2182,-6,-11,-53,-149
2183,-5,-25,-75,-85
2184,-19,-19,-95,-285
2185,10,50,140,160
2186,9,72,0,27
2187,-24,-193,-145,-649
2188,10,60,30,160
2189,-17,-101,-118,-203
2190,-35,-70,-350,-595
2191,15,0,195,225
2192,-22,-133,-243,-419
2193,11,54,153,241
2194,27,162,162,432
2195,-29,-203,-435,-928
2196,-3,-10,-28,-37
2197,15,75,240,75
2198,-7,-8,-36,-190
2199,-15,-89,-44,-164
2200,1,7,17,28
2201,-7,-56,-105,-84
2202,7,57,8,183
2203,-25,-25,-75,-175
2204,3,-1,41,95
2205,-20,-141,-281,-101
2206,-2,-9,-33,-63
2207,-16,-33,-273,-401
2208,28,84,28,644
2209,26,130,26,598
2210,-1,-3,-16,-3
2211,-10,-70,-100,-170
2212,20,161,21,241
2213,18,55,199,451
2214,4,4,68,64
2215,-31,-91,-153,-866
2216,8,39,63,135
2217,-15,-14,-89,-299
2218,-12,-11,-95,-35
2219,-21,-64,-169,-274
2220,-22,-155,-265,-133
2221,-37,-75,-556,-1111
2222,31,155,248,279
2223,13,12,142,246
2224,4,8,0,36
2225,-18,-71,-125,-125
2226,-2,-7,-23,-5
2227,0,-2,-2,-2
2228,22,133,353,199
2229,-17,-136,-289,-374
2230,-6,-24,-48,-84
2231,-15,-44,-74,-254
2232,-14,-1,-127,-99
2233,-11,-1,-111,-320
